event_id,provider_fixture_id,match_date,kickoff_utc,home,away,competition,round,group,status_long,status_short,elapsed,venue_name,venue_city,provider_home_id,provider_away_id,source,fetched_at
2026-06-22|argentina|austria|fifa-world-cup,8327,2026-06-22,2026-06-22T21:00:00+04:00,Argentina,Austria,FIFA World Cup,Group J,J,Not Started,NS,,AT&T Stadium,Arlington,489,483,bsd,2026-06-22T16:26:45+00:00
2026-06-22|france|iraq|fifa-world-cup,8328,2026-06-22,2026-06-23T01:00:00+04:00,France,Iraq,FIFA World Cup,Group I,I,Not Started,NS,,Lincoln Financial Field,Philadelphia,485,933,bsd,2026-06-22T16:26:45+00:00
2026-06-22|norway|senegal|fifa-world-cup,8329,2026-06-22,2026-06-23T04:00:00+04:00,Norway,Senegal,FIFA World Cup,Group I,I,Not Started,NS,,MetLife Stadium,East Rutherford,488,486,bsd,2026-06-22T16:26:45+00:00
2026-06-22|jordan|algeria|fifa-world-cup,8330,2026-06-22,2026-06-23T07:00:00+04:00,Jordan,Algeria,FIFA World Cup,Group J,J,Not Started,NS,,Levi's Stadium,Santa Clara,484,490,bsd,2026-06-22T16:26:45+00:00
2026-06-23|portugal|uzbekistan|fifa-world-cup,8331,2026-06-23,2026-06-23T21:00:00+04:00,Portugal,Uzbekistan,FIFA World Cup,Group K,K,Not Started,NS,,NRG Stadium,Houston,491,497,bsd,2026-06-22T16:26:45+00:00
2026-06-23|england|ghana|fifa-world-cup,8332,2026-06-23,2026-06-24T00:00:00+04:00,England,Ghana,FIFA World Cup,Group L,L,Not Started,NS,,Gillette Stadium,Foxborough,493,495,bsd,2026-06-22T16:26:45+00:00
2026-06-23|panama|croatia|fifa-world-cup,8333,2026-06-23,2026-06-24T03:00:00+04:00,Panama,Croatia,FIFA World Cup,Group L,L,Not Started,NS,,BMO Field,Toronto,496,494,bsd,2026-06-22T16:26:45+00:00
2026-06-23|colombia|dr-congo|fifa-world-cup,8334,2026-06-23,2026-06-24T06:00:00+04:00,Colombia,DR Congo,FIFA World Cup,Group K,K,Not Started,NS,,Estadio Akron,Guadalajara,498,648,bsd,2026-06-22T16:26:45+00:00
2026-06-24|bosnia-and-herzegovina|qatar|fifa-world-cup,8336,2026-06-24,2026-06-24T23:00:00+04:00,Bosnia and Herzegovina,Qatar,FIFA World Cup,Group B,B,Not Started,NS,,Lumen Field,Seattle,931,461,bsd,2026-06-22T16:26:45+00:00
2026-06-24|switzerland|canada|fifa-world-cup,8335,2026-06-24,2026-06-24T23:00:00+04:00,Switzerland,Canada,FIFA World Cup,Group B,B,Not Started,NS,,BC Place,Vancouver,462,455,bsd,2026-06-22T16:26:45+00:00
2026-06-24|scotland|brazil|fifa-world-cup,8338,2026-06-24,2026-06-25T02:00:00+04:00,Scotland,Brazil,FIFA World Cup,Group C,C,Not Started,NS,,Hard Rock Stadium,Miami Gardens,466,463,bsd,2026-06-22T16:26:45+00:00
2026-06-24|morocco|haiti|fifa-world-cup,8337,2026-06-24,2026-06-25T02:00:00+04:00,Morocco,Haiti,FIFA World Cup,Group C,C,Not Started,NS,,Mercedes-Benz Stadium,Atlanta,464,465,bsd,2026-06-22T16:26:45+00:00
2026-06-24|south-africa|south-korea|fifa-world-cup,8339,2026-06-24,2026-06-25T05:00:00+04:00,South Africa,South Korea,FIFA World Cup,Group A,A,Not Started,NS,,Estadio BBVA,Monterrey,452,453,bsd,2026-06-22T16:26:45+00:00
2026-06-24|czech-republic|mexico|fifa-world-cup,8340,2026-06-24,2026-06-25T05:00:00+04:00,Czech Republic,Mexico,FIFA World Cup,Group A,A,Not Started,NS,,Estadio Azteca,Mexico City,930,451,bsd,2026-06-22T16:26:45+00:00
2026-06-25|cura-ao|ivory-coast|fifa-world-cup,8341,2026-06-25,2026-06-26T00:00:00+04:00,Curaçao,Ivory Coast,FIFA World Cup,Group E,E,Not Started,NS,,Lincoln Financial Field,Philadelphia,468,471,bsd,2026-06-22T16:26:45+00:00
2026-06-25|ecuador|germany|fifa-world-cup,8342,2026-06-25,2026-06-26T00:00:00+04:00,Ecuador,Germany,FIFA World Cup,Group E,E,Not Started,NS,,MetLife Stadium,East Rutherford,472,467,bsd,2026-06-22T16:26:45+00:00
2026-06-25|tunisia|netherlands|fifa-world-cup,8344,2026-06-25,2026-06-26T03:00:00+04:00,Tunisia,Netherlands,FIFA World Cup,Group F,F,Not Started,NS,,Arrowhead Stadium,Kansas City,474,469,bsd,2026-06-22T16:26:45+00:00
2026-06-25|japan|sweden|fifa-world-cup,8343,2026-06-25,2026-06-26T03:00:00+04:00,Japan,Sweden,FIFA World Cup,Group F,F,Not Started,NS,,AT&T Stadium,Arlington,470,731,bsd,2026-06-22T16:26:45+00:00
2026-06-25|paraguay|australia|fifa-world-cup,8345,2026-06-25,2026-06-26T06:00:00+04:00,Paraguay,Australia,FIFA World Cup,Group D,D,Not Started,NS,,Levi's Stadium,Santa Clara,458,459,bsd,2026-06-22T16:26:45+00:00
2026-06-25|turkey|united-states|fifa-world-cup,8346,2026-06-25,2026-06-26T06:00:00+04:00,Turkey,United States,FIFA World Cup,Group D,D,Not Started,NS,,SoFi Stadium,Inglewood,932,457,bsd,2026-06-22T16:26:45+00:00
2026-06-26|norway|france|fifa-world-cup,8347,2026-06-26,2026-06-26T23:00:00+04:00,Norway,France,FIFA World Cup,Group I,I,Not Started,NS,,Gillette Stadium,Foxborough,488,485,bsd,2026-06-22T16:26:45+00:00
2026-06-26|senegal|iraq|fifa-world-cup,8348,2026-06-26,2026-06-26T23:00:00+04:00,Senegal,Iraq,FIFA World Cup,Group I,I,Not Started,NS,,BMO Field,Toronto,486,933,bsd,2026-06-22T16:26:45+00:00
2026-06-26|uruguay|spain|fifa-world-cup,8350,2026-06-26,2026-06-27T04:00:00+04:00,Uruguay,Spain,FIFA World Cup,Group H,H,Not Started,NS,,Estadio Akron,Guadalajara,480,475,bsd,2026-06-22T16:26:45+00:00
2026-06-26|cape-verde|saudi-arabia|fifa-world-cup,8349,2026-06-26,2026-06-27T04:00:00+04:00,Cape Verde,Saudi Arabia,FIFA World Cup,Group H,H,Not Started,NS,,NRG Stadium,Houston,476,479,bsd,2026-06-22T16:26:45+00:00
2026-06-26|new-zealand|belgium|fifa-world-cup,8352,2026-06-26,2026-06-27T07:00:00+04:00,New Zealand,Belgium,FIFA World Cup,Group G,G,Not Started,NS,,BC Place,Vancouver,482,477,bsd,2026-06-22T16:26:45+00:00
2026-06-26|egypt|iran|fifa-world-cup,8351,2026-06-26,2026-06-27T07:00:00+04:00,Egypt,Iran,FIFA World Cup,Group G,G,Not Started,NS,,Lumen Field,Seattle,478,481,bsd,2026-06-22T16:26:45+00:00
2026-06-27|croatia|ghana|fifa-world-cup,8353,2026-06-27,2026-06-28T01:00:00+04:00,Croatia,Ghana,FIFA World Cup,Group L,L,Not Started,NS,,Lincoln Financial Field,Philadelphia,494,495,bsd,2026-06-27T19:07:15+00:00
2026-06-27|panama|england|fifa-world-cup,8354,2026-06-27,2026-06-28T01:00:00+04:00,Panama,England,FIFA World Cup,Group L,L,Not Started,NS,,MetLife Stadium,East Rutherford,496,493,bsd,2026-06-27T19:07:15+00:00
2026-06-27|colombia|portugal|fifa-world-cup,8355,2026-06-27,2026-06-28T03:30:00+04:00,Colombia,Portugal,FIFA World Cup,Group K,K,Not Started,NS,,Hard Rock Stadium,Miami Gardens,498,491,bsd,2026-06-27T19:07:15+00:00
2026-06-27|dr-congo|uzbekistan|fifa-world-cup,8356,2026-06-27,2026-06-28T03:30:00+04:00,DR Congo,Uzbekistan,FIFA World Cup,Group K,K,Not Started,NS,,Mercedes-Benz Stadium,Atlanta,648,497,bsd,2026-06-27T19:07:15+00:00
2026-06-27|jordan|argentina|fifa-world-cup,8358,2026-06-27,2026-06-28T06:00:00+04:00,Jordan,Argentina,FIFA World Cup,Group J,J,Not Started,NS,,AT&T Stadium,Arlington,484,489,bsd,2026-06-27T19:07:15+00:00
2026-06-27|algeria|austria|fifa-world-cup,8357,2026-06-27,2026-06-28T06:00:00+04:00,Algeria,Austria,FIFA World Cup,Group J,J,Not Started,NS,,Arrowhead Stadium,Kansas City,490,483,bsd,2026-06-27T19:07:15+00:00
2026-06-28|south-africa|canada|fifa-world-cup,8359,2026-06-28,2026-06-28T23:00:00+04:00,South Africa,Canada,FIFA World Cup,Round of 32,,Not Started,NS,,SoFi Stadium,Inglewood,452,455,bsd,2026-06-27T19:07:15+00:00
2026-06-29|brazil|japan|fifa-world-cup,8360,2026-06-29,2026-06-29T21:00:00+04:00,Brazil,Japan,FIFA World Cup,Round of 32,,Not Started,NS,,NRG Stadium,Houston,463,470,bsd,2026-06-27T19:07:15+00:00
2026-06-29|germany|3a-3b-3c-3d-3f|fifa-world-cup,8361,2026-06-29,2026-06-30T00:30:00+04:00,Germany,3A/3B/3C/3D/3F,FIFA World Cup,Round of 32,,Not Started,NS,,Gillette Stadium,Foxborough,467,504,bsd,2026-06-27T19:07:15+00:00
2026-06-29|netherlands|morocco|fifa-world-cup,8362,2026-06-29,2026-06-30T05:00:00+04:00,Netherlands,Morocco,FIFA World Cup,Round of 32,,Not Started,NS,,Estadio BBVA,Monterrey,469,464,bsd,2026-06-27T19:07:15+00:00
2026-06-30|ivory-coast|norway|fifa-world-cup,8363,2026-06-30,2026-06-30T21:00:00+04:00,Ivory Coast,Norway,FIFA World Cup,Round of 32,,Not Started,NS,,AT&T Stadium,Arlington,471,488,bsd,2026-06-27T19:07:15+00:00
2026-06-30|france|3c-3d-3f-3g-3h|fifa-world-cup,8364,2026-06-30,2026-07-01T01:00:00+04:00,France,3C/3D/3F/3G/3H,FIFA World Cup,Round of 32,,Not Started,NS,,MetLife Stadium,East Rutherford,485,510,bsd,2026-06-27T19:07:15+00:00
2026-06-30|mexico|3c-3e-3f-3h-3i|fifa-world-cup,8365,2026-06-30,2026-07-01T05:00:00+04:00,Mexico,3C/3E/3F/3H/3I,FIFA World Cup,Round of 32,,Not Started,NS,,Estadio Azteca,Mexico City,451,512,bsd,2026-06-27T19:07:15+00:00
2026-07-01|1l|3e-3h-3i-3j-3k|fifa-world-cup,8366,2026-07-01,2026-07-01T20:00:00+04:00,1L,3E/3H/3I/3J/3K,FIFA World Cup,Round of 32,,Not Started,NS,,Mercedes-Benz Stadium,Atlanta,513,514,bsd,2026-06-27T19:07:15+00:00
2026-07-01|g1|3a-3e-3h-3i-3j|fifa-world-cup,8367,2026-07-01,2026-07-02T00:00:00+04:00,G1,3A/3E/3H/3I/3J,FIFA World Cup,Round of 32,,Not Started,NS,,Lumen Field,Seattle,515,516,bsd,2026-06-27T19:07:15+00:00
2026-07-01|united-states|bosnia-and-herzegovina|fifa-world-cup,8368,2026-07-01,2026-07-02T04:00:00+04:00,United States,Bosnia and Herzegovina,FIFA World Cup,Round of 32,,Not Started,NS,,Levi's Stadium,Santa Clara,457,931,bsd,2026-06-27T19:07:15+00:00
2026-07-02|h1|2j|fifa-world-cup,8369,2026-07-02,2026-07-02T23:00:00+04:00,H1,2J,FIFA World Cup,Round of 32,,Not Started,NS,,SoFi Stadium,Inglewood,519,520,bsd,2026-06-27T19:07:15+00:00
2026-07-02|2k|2l|fifa-world-cup,8370,2026-07-02,2026-07-03T03:00:00+04:00,2K,2L,FIFA World Cup,Round of 32,,Not Started,NS,,BMO Field,Toronto,521,522,bsd,2026-06-27T19:07:15+00:00
2026-07-02|switzerland|3e-3f-3g-3i-3j|fifa-world-cup,8371,2026-07-02,2026-07-03T07:00:00+04:00,Switzerland,3E/3F/3G/3I/3J,FIFA World Cup,Round of 32,,Not Started,NS,,BC Place,Vancouver,462,524,bsd,2026-06-27T19:07:15+00:00
2026-07-03|australia|g2|fifa-world-cup,8372,2026-07-03,2026-07-03T22:00:00+04:00,Australia,G2,FIFA World Cup,Round of 32,,Not Started,NS,,AT&T Stadium,Arlington,459,526,bsd,2026-06-27T19:07:15+00:00
2026-07-03|argentina|h2|fifa-world-cup,8373,2026-07-03,2026-07-04T02:00:00+04:00,Argentina,H2,FIFA World Cup,Round of 32,,Not Started,NS,,Hard Rock Stadium,Miami Gardens,489,528,bsd,2026-06-27T19:07:15+00:00
2026-07-03|1k|3d-3e-3i-3j-3l|fifa-world-cup,8374,2026-07-03,2026-07-04T05:30:00+04:00,1K,3D/3E/3I/3J/3L,FIFA World Cup,Round of 32,,Not Started,NS,,Arrowhead Stadium,Kansas City,529,530,bsd,2026-06-27T19:07:15+00:00
2026-07-04|w73|w75|fifa-world-cup,8375,2026-07-04,2026-07-04T21:00:00+04:00,W73,W75,FIFA World Cup,Round of 16,,Not Started,NS,,NRG Stadium,Houston,531,532,bsd,2026-06-27T19:07:15+00:00
